property_id,district,property_type,total_price,condo_fee,area,bedroom_qnt,bathroom_qnt,parking_spaces_qnt,sq_m_price
2755146524,tucuruvi,2,370000.0,1.0,41.5,2.0,1.0,1.0,8916
2770281021,tucuruvi,2,460000.0,890.0,55.0,2.0,2.0,1.0,8364
2752102340,tucuruvi,2,565000.0,320.0,89.0,2.0,3.0,1.0,6348
2783006143,tucuruvi,1,350000.0,1.0,43.0,2.0,1.0,1.0,8140
2771155743,tucuruvi,1,260000.0,0.0,27.0,1.0,1.0,0.0,9630
2783010761,tucuruvi,1,340000.0,1.0,45.0,2.0,1.0,1.0,7556
2758570819,tucuruvi,1,390000.0,0.0,40.0,2.0,1.0,2.0,9750
2733072526,tucuruvi,2,485000.0,921.0,60.0,2.0,2.0,1.0,8083
2775979313,tucuruvi,2,426000.0,580.0,55.0,2.0,1.0,1.0,7745
2751970713,tucuruvi,1,550000.0,0.0,210.0,3.0,3.0,2.0,2619
2783010239,tucuruvi,1,650000.0,0.0,108.0,3.0,2.5,2.0,6019
2770950431,tucuruvi,2,427903.0,0.0,47.0,2.0,1.0,1.0,9104
2780815901,tucuruvi,2,333165.0,150.0,37.0,2.0,1.0,0.0,9004
2772109967,tucuruvi,2,340000.0,200.0,50.0,2.0,1.0,1.0,6800
2575227278,tucuruvi,2,780000.0,700.0,73.0,3.0,1.5,1.0,10685
2780807946,tucuruvi,1,490000.0,0.0,60.0,3.0,2.0,2.0,8167
2770952959,tucuruvi,2,433422.0,0.0,47.0,2.0,1.0,0.5,9222
2779337632,tucuruvi,1,229000.0,1.0,28.0,1.0,1.0,0.0,8179
2743819506,tucuruvi,2,370000.0,450.0,50.0,2.0,1.0,1.0,7400
2738230759,tucuruvi,2,427777.0,0.0,47.0,2.0,1.0,1.0,9102
2783008925,tucuruvi,1,235000.0,100.0,216.0,1.0,1.0,0.0,1088
2777294257,tucuruvi,2,279700.0,150.0,40.5,2.0,1.0,0.0,6906
2779339621,tucuruvi,1,729000.0,0.0,93.0,3.0,3.0,2.0,7839
2746177897,tucuruvi,1,435000.0,0.0,65.0,2.0,2.5,1.0,6692
2757581865,tucuruvi,2,270000.0,690.0,58.0,2.0,1.0,1.0,4655
2736285613,tucuruvi,2,400000.0,682.0,53.0,2.0,2.0,2.0,7547
2783011522,tucuruvi,2,310000.0,310.0,34.0,1.0,1.0,0.0,9118
2722700621,tucuruvi,2,430000.0,200.0,45.0,2.0,1.0,1.0,9556
2743869422,tucuruvi,2,436000.0,600.0,55.0,2.0,1.0,2.0,7927
2536300649,tucuruvi,1,570000.0,0.0,162.0,3.5,2.5,2.5,3519
2743741022,tucuruvi,1,1580000.0,0.0,201.0,3.0,4.5,4.0,7861
2777049039,tucuruvi,2,465000.0,1140.0,70.0,3.0,1.0,1.0,6643
2773696637,tucuruvi,2,620000.0,750.0,63.0,2.0,2.0,1.0,9841
2770955014,tucuruvi,2,432782.0,0.0,44.0,2.0,1.0,1.0,9836
2783004158,tucuruvi,1,270000.0,100.0,40.0,2.0,1.0,0.0,6750
2782700713,tucuruvi,1,550000.0,0.0,122.0,2.0,2.5,1.0,4508
2732013758,tucuruvi,2,360000.0,425.0,47.0,2.0,1.0,1.0,7660
